column1,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank
0,0.529411765,0.470588235,0,0,0,0.875,0,0.5,0,0,80,0,100,0,0,0,0,0,0,0,0,0,1,0,45,-1,0,1,1,4
1,0.966666667,0.033333333,0,0,0,0,0,0,0,0,100,0,80,20,0,0,0,100,0,0,0,1,0,0,77,5767,0,0,1,2
2,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,14,4004,5828815,0,1,0
3,0.973154362,0.026845638,0,0,0,0.25,0,0.25,0,0,100,0,96.42857143,3.571428571,0,0,0,62.5,0,0,0,1,0,0,62,-1,107721,0,0,3
4,0.470588235,0.529411765,0,0,0,0.537037037,0,0.018518519,1,0,76.47058824,0,0,100,0,0,0,0,0,0,0,0,1,0,224,8175,8725,0,0,6
5,0.3,0.7,0,0,0,0.571428571,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,0
6,0.081632653,0.918367347,0,10,0,0,0,0,0,1,0,0,0,100,0,0,0,100,0,0,0,0,1,0,170,7529,0,0,0,1
7,0.966666667,0.033333333,0,0,0,0,0,0,0,0,100,0,80,20,0,0,0,100,0,0,0,1,0,0,76,5767,0,0,1,2
8,0.206349206,0.793650794,0,3,0,0.38,0,0,0,1,0,0,0,100,0,0,0,27.27272727,0,0,0,1,1,0,371,7298,0,0,0,5
9,0.778571429,0.221428571,0,1,0,0.193548387,0,0,0,1,93.10344828,0,10,90,0,0,0,58.13953488,0,0,0,1,0,0,128,9368,6774,0,0,5
10,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,0,-1,1627089,0,0,2
11,0.931818182,0.068181818,0,0,0,0.166666667,0,0.166666667,0,0,100,0,100,0,0,0,0,62.5,0,0,0,1,0,0,489,7911,944,0,0,6
12,0.775384615,0.224615385,0,0,0,0.04109589,0,0.164383562,0,0,100,0,98.4496124,1.550387597,0,0,0,38.79310345,0,0,0,1,1,0,320,1505,158942,0,0,4
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,66,1761,1173197,0,1,4
14,0.933649289,0.066350711,0,0,0,0.357142857,0,0.285714286,0,1,82.35294118,0,100,0,0,0,0,69.6969697,0,0,0,0,0,0,880,2041,4297684,0,0,2
15,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,490,3892,0,0,0,4
227,0,1,0,1,0,0.125,0,0,1,1,0,0,0,100,0,0,0,0,0,0,0,1,0,0,723,7,0,0,0,0
16,0.96,0.04,0,0,0,0.2,0,0,0,0,100,0,100,0,0,0,0,76.19047619,0,0,0,1,1,0,3069,8301,99386,0,0,4
17,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,1337,2316,0,0,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,352,2935,0,1,1,0
19,0.97716895,0.02283105,0,0,0,0,0,0,0,0,66.66666667,0,100,0,0,0,0,0,0,0,0,1,1,0,451,3932,927214,0,0,2
20,0.884353741,0.115646259,0,1,0,0,0,0,0,1,92.59259259,0,87.5,12.5,0,0,0,92.75362319,0,0,0,0,1,0,70,8759,26017,0,0,5
21,0.818181818,0.181818182,0,0,0,0.214285714,0,0.142857143,0,0,76.92307692,0,0,0,0,0,0,0,0,0,0,1,0,0,926,5647,1040,0,0,6
